student_id,week,study_hours,sleep_hours,stress_level,attendance_rate,screen_time_hours,caffeine_intake,learning_efficiency,fatigue_index,quiz_score,assignment_score,performance_index
0,1,7.888119882,7.318902185,5.558082584,0.951051528,3.838243732,1,0.425516746,0.555808258,63.27019963,109.6382653,91.09103903
0,2,9.950369682,5.98716888,5.628494665,0.759197592,2.175392597,2,0.440706784,0.90045984,79.33345164,113.5406903,99.85779481
0,3,7.849006423,7.375698018,3.79872262,0.820830625,3.796586776,0,0.453816995,0.379872262,77.07226236,112.9270184,98.58511596
0,4,8.994472138,7.822544912,2.5583127,0.87088636,1.080659752,1,0.468137567,0.25583127,74.50014229,119.8134622,101.6881342
0,5,7.990914657,5.416705786,6.547400834,0.796185834,2.306643805,1,0.481408138,1.182504821,57.75153985,117.7169675,93.73079641
0,6,9.88774846,6.160782477,4.381575248,0.883126343,6.951090254,1,0.496544927,0.717896699,63.48767276,114.4201706,94.04717149
0,7,9.834795419,7.296561384,2.924340247,0.842419625,6.945927068,3,0.511636291,0.292434025,76.62342408,116.3428929,100.4551053
0,8,8.939135913,7.087047068,4.401985299,0.859176078,1.024862171,2,0.525902718,0.44019853,66.45887835,123.416689,100.6335648
0,9,8.191506397,6.498242956,6.830804235,0.882875111,3.940479592,4,0.539394865,0.850332771,68.83883188,120.1742274,99.64006917
0,10,8.632174276,7.296120277,5.522110544,0.850511346,4.530825733,1,0.553353098,0.552211054,67.88406235,115.8531218,96.66549805
0,11,9.21493883,4.977685067,3.113886383,0.990395874,4.962898391,1,0.567885165,0.985493616,58.92863951,129.13262,101.0510278
0,12,8.567390719,6.807639035,5.603094685,0.846528823,2.662643925,3,0.58177664,0.62442979,73.4463403,115.7892081,98.85206098
0,13,10,8.392325753,3.238718363,0.857689495,4.013135036,1,0.597008523,0.323871836,78.96500882,129.9196075,109.5377681
0,14,9.873589416,5.449336569,5.13712595,0.743769629,5.947184861,3,0.612133202,1.030600405,64.89197845,113.3192002,93.94831149
0,15,8.643254974,7.556121799,7.087721222,0.902644816,7.727773049,1,0.626102793,0.708772122,82.51257493,117.6110516,103.5716609
0,16,10,7.521941566,5.593969346,0.875049285,5.692896419,1,0.641334676,0.559396935,74.81688041,119.9645669,101.9054923
1,1,10,7.473832921,2.617393006,0.915655361,3.05063666,3,0.363474299,0.261739301,74.11099459,123.1364799,103.5262858
1,2,10,5.630128943,3.456438501,0.937867355,4.520810984,4,0.378706182,0.802267536,69.28432009,116.453908,97.58607286
1,3,9.041980064,6.862728183,4.751735222,0.924034082,4.095075535,2,0.393072898,0.520930795,71.14223067,121.3393361,101.2604939
1,4,7.754261221,7.630074939,8.525874945,0.873095372,3.382126217,2,0.406074369,0.852587494,64.72111607,120.3415042,98.09334895
1,5,8.040991904,8.382004604,6.81024392,0.789609563,5.60889824,4,0.419400814,0.681024392,66.28734645,117.6316029,97.09390033
1,6,9.651391251,5.847434628,1.998463214,0.86650228,3.288142164,0,0.434332022,0.584034779,80.06474193,108.5121114,97.1331636
1,7,8.585468195,7.080198713,3.213759453,0.816518275,8.120760282,1,0.448242186,0.321375945,69.91479345,127.142331,104.251316
1,8,10,4.974857413,5.37290863,0.783821354,6.70486667,1,0.463474069,1.212338392,67.09571065,117.9449089,97.60522961
1,9,8.665752909,6.682153093,5.635534065,0.688777269,6.89076338,3,0.477466668,0.669502375,73.523978,101.629144,90.38707762
1,10,10,8.266911149,3.584661069,0.894381943,6.549268107,1,0.492698551,0.358466107,55.77990547,115.8584421,91.82702747
1,11,7.005038428,5.699807158,8.086135304,0.982326381,4.743175707,4,0.504792301,1.242011144,58.33899065,127.5546888,99.86840957
1,12,8.399783123,7.647162697,5.252189656,0.660262302,7.561081523,4,0.518508253,0.525218966,70.17304735,104.4649468,90.74818703
1,13,9.884990467,6.535470251,3.75552567,0.814451136,6.904022188,4,0.533642684,0.530395817,78.51992409,120.9446033,103.9747316
1,14,9.610370265,5.212328388,2.558859791,0.783079727,7.323874635,5,0.548537466,0.851776516,68.63282513,120.3528907,99.66486447
1,15,9.681952971,6.689733243,5.648332705,0.836985695,5.19399193,2,0.563495669,0.668255523,73.42258378,125.331148,104.5677223
1,16,7.803339531,7.624119817,6.256691019,0.848775323,3.205491257,0,0.576553636,0.625669102,57.78064045,129.1925178,100.6277669
2,1,9.613841341,8.357880788,4.133393186,0.870382273,6.118218405,0,0.420172376,0.413339319,73.88020295,110.4868241,95.84417562
2,2,7.592536226,6.335772557,7.720222732,0.646292407,8.140064561,1,0.432985119,0.993431421,60.58943413,104.5793582,86.98338858
2,3,9.32271856,6.172769056,6.038693028,1,4.782479703,2,0.447618146,0.879612951,67.90809576,126.538717,103.0864685
2,4,9.983504306,7.097676099,3.453980432,0.852451017,5.995996582,3,0.462836156,0.345398043,75.83039842,118.634675,101.5129643
2,5,8.889068064,7.976309126,2.094301082,0.928400641,4.684552083,2,0.477053223,0.209430108,64.42393592,124.3391489,100.3730637
2,6,10,7.57134751,6.94104764,0.924196302,7.953317251,3,0.492285106,0.694104764,68.92480843,121.3477998,100.3786033
2,7,7.286865471,8.353872374,4.770920309,0.973781631,1.811144682,0,0.504730329,0.477092031,64.21129342,127.3421026,102.089779
2,8,9.30234829,7.0052437,5.093961188,0.804993453,6.245699865,1,0.519344396,0.509396119,70.86671957,118.8554112,99.65993458
2,9,10,8.541370997,3.344213842,0.819613556,5.484667372,4,0.534576279,0.334421384,83.25314912,116.2963996,103.0790994
2,10,9.971570951,8.489045174,6.755650337,0.806634967,4.315382723,0,0.549784232,0.675565034,75.84064323,108.3490064,95.34566113
2,11,9.88606356,6.862922179,5.400268838,0.632913417,4.026571008,3,0.564919581,0.585719491,78.11395923,107.0242033,95.46010565
2,12,9.79640543,7.384065449,4.934610504,0.64325579,4.821759921,2,0.579977786,0.49346105,66.84021593,110.5331584,93.05598142
2,13,8.937320903,7.955142321,3.028547907,0.900404652,3.939484763,1,0.59424243,0.302854791,68.90362746,123.345188,101.5685638
2,14,7.964757678,7.057474003,0.43439502,0.839805049,5.084268163,2,0.607483668,0.043439502,73.18765361,119.4705466,100.9573894
